Occupation ,Latitude,Longitude
"painter,",40.7425133,-73.9864828
"painter,",40.7630174,-73.9594952
"painter,",40.6789596,-73.9215963
"artist,",40.7144411,-74.0064005
"painter,",40.7103271,-74.007182
"painter,",40.708761,-74.013506
"engraver,",40.7130547,-74.0101205
"painters,",40.7103271,-74.007182
"engraver,",40.7228555,-74.0086596
"painter,",40.711644,-73.9856675
"painter,",40.7137327,-74.0115243
"painter,",40.7262529,-74.0051886
"engraver,",40.687372,-73.8275944
"painter,",40.7233027,-74.0039849
"painter,",40.7161177,-73.9901001
"auctioneers,",40.7062877,-74.0101647
"painter,",40.7166147,-73.9946318
"artist,",40.7075419,-73.956023
"painter,",40.7197628,-74.0047688
"painter,",40.7368357,-73.9921992
"painter,",42.7284117,-73.6917851
"painter,",40.7024706,-73.9449224
"painter,",40.808043,-73.9639122
artist,40.7104649,-73.9958615
"artist,",40.7095719,-74.0084476
painter,40.7174764,-73.9825039
"wood engraver,",40.7183425,-73.9913279
"painter,",40.7165214,-73.9855836
"ship carver,",40.7033283,-74.0101429
"painter,",40.7297484,-74.0074193
"artist,",40.7074294,-73.9544199
"painter,",40.7105349,-74.00691
"painters,",40.7105349,-74.00691
"painter,",40.7980799,-73.9714145
"painter,",40.760395,-73.780064
"painter,",40.7338208,-74.0005798
"painters,",40.760395,-73.780064
"painter,",40.7362039,-74.0073514
"painter,",40.7156098,-73.9904644
"engraver,",40.7107912,-74.0083659
auctioneer.,40.7057434,-74.0097486
"engraver,",40.6698923,-73.9785792
"painter,",40.7235531,-74.0001852
"painter,",42.2528649,-73.790959
"painter,",40.7043266,-74.0106201
"ornamental gilder,",40.7180294,-73.9934083
"painter,",40.7231779,-73.9982542
"miuiaturepainter,",40.7180316,-74.0030505
"painter,",40.7329724,-74.0078633
auctioneer.,42.3642516,-73.5948391
"painter,",40.7127753,-74.0059728
"gilder,",40.7176016,-73.9871448
"painter,",40.7123256,-73.9790754
"auctioneers,",40.8604401,-73.9299849
"engraver,",40.7252775,-74.0071058
"engraver,",40.7135081,-73.9844358
"painter,",40.7127753,-74.0059728
auctioneer.,40.709882,-74.0070475
"painter,",40.720405,-73.997317
"carver, 1",40.7569313,-73.8132202
"carvers,",40.682862,-73.838388
"painter,",40.720567,-73.993542
"auctioneer,",40.7033283,-74.0101429
"auctioneer,",40.7033283,-74.0101429
"auctioneers,",40.7033283,-74.0101429
"painter and glazier,",40.7117092,-73.9849061
"auctioneer,",40.7104706,-74.0077899
"artist,",40.71106,-74.0111662
painter.,40.7161,-73.79374
"painter,",40.7114221,-73.9849811
"painter,",42.2528649,-73.790959
"painter,",40.7365846,-74.0083902
artist,40.7211909,-74.0088798
"gilder,",40.7127753,-74.0059728
"frame gilder,",40.5675356,-74.1190417
"painter,",40.7127753,-74.0059728
artist,40.7087528,-73.9584326
"painter,",40.7127753,-74.0059728
"painter,",40.8725962,-73.8395816
"painter,",40.9189594,-73.8065378
sign painter.,40.7127753,-74.0059728
"painter,",42.2528649,-73.790959
"painter,",40.7144849,-73.991272
"engraver,",43.934,-91.8130177
"engravers,",43.934,-91.8130177
"painter,",40.7180073,-73.9871102
"gilder,",40.7142475,-73.9941184
engraver.,40.7127753,-74.0059728
"painter,",44.4489478,-75.6941225
"painter,",42.2528649,-73.790959
"auctioneers,",40.6273845,-73.9992054
"auctioneer,",40.6273845,-73.9992054
"coach painter,",40.7653759,-73.9296586
"painter,",40.7339898,-73.9909491
"chair painter,",40.7143384,-73.9995841
"painter,",40.7108015,-74.0078785
"engraver,",40.710163,-73.9650634
"painter,",40.7259835,-74.0069732
"painters,",40.7259835,-74.0069732
"engraver,",40.7130435,-74.0072565
"portrait painter,",40.7175522,-73.99899
"painter,",40.720266,-73.9952499
"painter,",40.7139796,-74.0127112
"auctioneer,",40.6843606,-73.9606658
"gilder,",40.7127753,-74.0059728
"portrait painter,",40.7237636,-74.0006983
"painter,",40.7163391,-73.9876149
"painter,",40.7127753,-74.0059728
"artist,",40.7388732,-73.7866336
"ornamental painter,",40.7177106,-73.9949056
"painter,",40.6687539,-73.9770661
"engraver,",40.7079971,-74.0079973
"painter,",40.7540933,-73.9408195
gilder,40.7272503,-73.9967393
"painter,",40.7103981,-74.0071346
"painter,",40.6799981,-73.9281345
"painter,",40.7122349,-73.9803484
"ship painter,",40.7150337,-73.9794082
"painter,",40.7176549,-73.9893176
"portraitpainter,",40.7313595,-74.0029411
"painter,",40.7137969,-73.9913485
"painter,",42.2528649,-73.790959
"engraver,",40.7127753,-74.0059728
"painters,",40.7127753,-74.0059728
"carver,",40.7263597,-73.9994851
porcelain painter.,42.2528649,-73.790959
"painter,",40.7157795,-74.0069565
"painter,",40.5795036,-73.9392657
"painter,",40.711059,-73.952983
"artist,",40.7127761,-74.0059544
"portrait painter,",40.7237284,-74.0084371
"portrait-painter,",40.7157109,-73.9939932
"painter,",40.6415585,-74.0176646
"painter,",40.7127753,-74.0059728
"engraving,",40.8568554,-73.9282792
"coachpainter,",40.7139792,-73.9808813
"engraver,",37.09024,-95.712891
"auctioneer,",40.7100191,-74.0066987
"painter,",40.7127753,-74.0059728
"painter,",40.7198425,-74.0095924
"painter,",40.7393983,-73.9952576
"painter,",40.7171585,-73.9870486
"portrait painter,",40.7159389,-73.9875609
"portraitpainter,",40.7087528,-73.9584326
"engraver,",40.7081041,-74.0074731
"painter,",40.6646398,-73.8499216
"painter,",40.7964169,-73.9553761
"painter,",40.7069631,-74.0062874
"painter,",40.7079971,-74.0079973
"painter,",40.717468,-73.9989161
"painter,",40.7185815,-73.9839221
"painter,",40.7126016,-73.9923044
"painter,",40.710358,-74.0027659
"s hi ti painter,",40.7177239,-73.9905956
"painter,",40.711644,-73.9856675
"engraver,",40.7090673,-74.0058338
"painter,",40.7201872,-73.8126356
"painter,",40.716537,-73.9880527
"painter,",40.7166529,-73.9883978
"painter,",40.7035144,-73.9470562
painter.,40.757407,-73.944671
"engraver,",40.7102574,-73.962691
"paintings,",40.7144257,-74.0062606
"carver and gilder,",40.722998,-74.0001507
"engraver,",40.7661397,-73.9197859
"artist,",40.7102,-74.0077719
"painter,",40.7127753,-74.0059728
"painter,",40.7127753,-74.0059728
"carver,",40.717349,-73.9793708
"artist,",40.71097,-74.0090868
"artist,",40.7091417,-73.9598346
"painter,",40.7127753,-74.0059728
"engraver,",40.7127753,-74.0059728
"artist,",40.7151156,-73.9919193
"artist,",40.7214072,-74.0056233
"gilder,",40.7160827,-73.9842123
"auctioneer,",40.7098689,-74.0065359
"carver and gilder,",40.7153615,-73.9902119
"painter,",40.7070767,-74.0062534
"painter,",40.716135,-73.9921692
"painter,",42.530633,-75.0896077
"painter,",40.7270718,-73.9914903
"gilder,",40.7200817,-73.986355
"painter,",40.6782478,-73.7937485
"painter,",40.7114587,-73.9875061
"painter,",42.530633,-75.0896077
"painter,",40.7127753,-74.0059728
"painter,",40.7142532,-74.0025657
"carver,",40.7257331,-73.9995131
"carver,",40.7127753,-74.0059728
"carver,",40.7033283,-74.0101429
"china painter,",40.5395773,-74.2214015
"artist,",40.714306,-74.001591
"auctioneer,",40.7070773,-74.0020674
"painter,",40.7332136,-73.9937693
"engraver,",40.7089038,-74.0086031
"painter,",40.7146993,-74.005421
"min. painter,",40.7192428,-74.0034075
"engraver,",40.7104432,-74.0069828
"painter,",40.723284,-73.9759244
"painter,",40.7173654,-73.9950642
banknote engraver.,40.7060361,-74.0088256
"painter,",40.7243804,-74.0015419
carver.,40.7244618,-73.9982515
"carvers,",40.7244618,-73.9982515
"engravers,",40.7081041,-74.0074731
"carver,",40.7219613,-74.0104111
"painter,",42.3292408,-75.7699147
"painter,",40.7181635,-73.9974893
"painter,",42.2528649,-73.790959
"painter,",40.7198367,-74.0089441
"auctioneer,",40.7127753,-74.0059728
"painter,",40.6296758,-74.1330225
"painter,",40.7171499,-74.008334
"painter,",40.7219247,-73.9946868
"artist's repository,",40.7081185,-73.9576589
"painter,",40.7180316,-74.0030505
"auctioneer,",40.7103058,-73.9651617
"painter,",40.7172814,-73.9996882
"painter,",43.0545116,-75.8468569
"painter,",40.7333364,-74.0046241
"painter,",40.7187313,-73.9890522
"painter,",40.7127753,-74.0059728
"painter,",40.8124199,-73.9605343
"engraver,",40.7087319,-74.0053613
"painter,",40.7127753,-74.0059728
"carver,",40.7143166,-73.9955837
"painter,",40.7193721,-73.9775811
"shipcarver,",40.7101041,-73.9941068
"carver,",40.7175292,-73.9799994
"painter,",40.7229131,-73.9888043
"painter,",40.7228261,-74.0013903
"painter,",40.718477,-74.0106842
"carver,",40.7138667,-73.9972637
"painter,",40.7403074,-74.0079584
"painters,",40.7127753,-74.0059728
"engraver,",40.7127753,-74.0059728
"painter,",40.730876,-74.0088401
"engraver,",40.7163639,-73.9928394
"gilder,",40.7127753,-74.0059728
"gilder,",40.7183378,-73.9866422
"portraitpainter,",40.7443102,-73.7741353
"gilder,",40.7127753,-74.0059728
"painter,",40.7343623,-73.8048112
"painter,",40.6861154,-73.8260355
"painter,",40.7127753,-74.0059728
"painter,",40.6934276,-73.9926445
"painter,",40.7185878,-73.9917586
"painter,",40.7127753,-74.0059728
bank note engraver*.,40.7060361,-74.0088256
"engraver,",40.7239234,-74.0006278
painter.,40.7150058,-73.9988609
"painter,",40.5581586,-73.9234525
"carver,",40.7185963,-73.9917542
"painter,",40.7210301,-73.9832179
"painter,",40.7171075,-73.9979868
", engraver,",40.7093161,-74.0093682
"auctioneer,",40.705318,-74.0075795
"painter,",40.7094934,-74.0058552
"painters,",40.7094934,-74.0058552
painter.,40.7630174,-73.9594952
"painter,",40.727692,-74.008488
"painter,",40.7235791,-73.9957941
"painter,",40.719858,-73.9976831
"painter,",40.7199111,-73.9977175
"painter,",40.7194364,-73.9818204
"portrait painter,",40.6900048,-73.9976203
"engraver,",40.685891,-73.827804
"bank note engravers,",40.685891,-73.827804
"artist,",40.7142532,-74.0025657
"painter,",40.7073894,-74.0054759
"painter,",40.7127753,-74.0059728
"painter,",40.7266236,-74.0065569
"painter,",40.6003254,-73.9859009
"painter,",40.7127753,-74.0059728
"painters,",40.7127753,-74.0059728
"conchpainter,",40.7156744,-73.9929898
"painter,",40.7173148,-74.0080277
"engraver,",40.7100265,-74.0077793
"engraver,",40.7274106,-74.0058774
"painter,",40.7240305,-73.9954874
"engraver,",40.6004145,-74.1448036
"engraver & printer,",40.709478,-74.0066995
"painter,",40.7180843,-74.0004951
"artist,",40.6122217,-74.0751973
"artist,",40.7155594,-73.9901267
"engraver,",40.8957623,-73.8973448
"artist,",40.772819,-74.0419093
"artist,",40.7224981,-73.995728
"painter,",40.7851704,-73.7998435
"carver,",40.7254517,-73.776354
"painter,",40.693581,-73.844318
"painter,",40.7529705,-73.8735114
"painter,",40.7270718,-73.9914903
"chairgilder,",40.7223521,-73.9985051
"artist,",40.7297248,-74.0039945
"engraver,",40.7123468,-74.0125982
"painter,",40.717822,-73.9867116
"engraver,",40.7123468,-74.0125982
"painter,",40.7174815,-73.7953969
"painter,",40.7142865,-73.9989295
"painter,",40.7202426,-73.9844817
"portrait painter,",40.7608773,-73.3288314
"portrait painter,",40.7474307,-73.9835995
artist.,40.7146063,-73.986045
"painter,",40.7197945,-73.991313
"auctioneer,",40.7257762,-74.0067921
"auctioneers,",40.7257762,-74.0067921
"painter,",40.7113493,-73.9856734
"painter,",42.3401767,-77.0334179
"engraver,",40.685891,-73.827804
"painter,",40.7152,-74.0077326
"painter,",42.2528649,-73.790959
"painter,",40.7127753,-74.0059728
", painter,",42.3292408,-75.7699147
"painter,",40.8124199,-73.9605343
"painters,",40.7579757,-73.9855539
"portrait painter,",40.7126472,-74.0082499
"painter,",40.7188751,-73.9754454
"painter,",40.7838199,-73.7807716
"gilder,",40.7151224,-73.9942525
"painter,",40.6041232,-74.1326127
"painter,",40.7228555,-74.0086596
"painter,",40.709456,-74.0140057
"painter,",40.7190848,-73.9758122
"painter,",40.7190848,-73.9758122
"painter,",41.3306493,-74.1868135
"artist,",42.3292408,-75.7699147
"painter,",40.7171585,-73.9870486
"engraver,",40.7000133,-73.9829252
"artist,",40.7281929,-73.9940014
"painter,",40.7447069,-73.9954673
"engraver,",42.3642516,-73.5948391
"painter,",40.7097763,-74.0083264
"painter,",40.631338,-74.1477869
"painters,",40.631338,-74.1477869
"portrait painter,",40.7124937,-74.0103871
"cbairpainter,",40.660925,-73.986644
"auctioneer,",40.7033283,-74.0101429
"auctioneer,",40.7054434,-74.0075659
"painter,",40.7197186,-73.9905239
"53 John,",40.7145918,-73.9913378
"painter,",40.7077029,-74.0085541
"painter,",40.72534,-73.9936586
"painter,",40.7198459,-74.0051944
"painter,",40.7142532,-74.0025657
painter.,40.746408,-73.7500786
"painter,",40.6800234,-73.9279166
"engraver,",40.7093099,-74.0092758
"engraver,",40.7163828,-74.0012118
"painter,",40.7223508,-73.9869101
"painter,",43.2981156,-77.8605667
"painter,",42.530633,-75.0896077
"auctioneer,",40.707218,-74.006522
"painter,",40.7139777,-74.0126982
"engraver,",40.7105349,-74.00691
"painter,",40.7179174,-73.9942348
"painter,",40.7246587,-74.0003977
"artist,",40.7144257,-74.0062606
"painter,",40.7264846,-74.0080725
"artist,",40.7198832,-74.0033836
"artist,",40.7174489,-74.0074881
"artist,",40.7174584,-74.0038831
"painter,",42.530633,-75.0896077
"painters,",42.530633,-75.0896077
"painter,",40.7094934,-74.0058552
"painter,",40.718694,-73.9758203
"painter,",42.3401767,-77.0334179
painters.,40.718694,-73.9758203
"painter,",40.7109021,-73.9909877
"artist,",40.7624876,-73.9282962
"painter,",40.7163827,-73.9909465
", painter,",40.7127753,-74.0059728
gilder.,40.622767,-74.135138
"painter,",40.7024706,-73.9449224
"auctioneer,",40.8402731,-73.9273962
"painter,",40.7104654,-73.9958579
"painter,",42.3292408,-75.7699147
"engraver,",40.7152084,-74.0123468
"painter,",40.7140958,-73.999423
"painter,",41.3306493,-74.1868135
"artist,",40.731644,-74.0060051
"painter,",40.7283367,-74.0062085
"painter,",40.7289731,-74.0054871
"portrait painter,",40.7127228,-73.997996
"carver,",40.7171312,-73.9870628
"carver,",40.730239,-73.7297126
"painter,",40.715697,-73.9814403
"engraver,",40.709358,-74.0084873
engraver.,40.7207421,-73.9981307
"engraver,",40.7092341,-74.010698
engraver.,40.7335044,-73.9843363
"engraver,",40.7106473,-74.0076802
"painter,",40.7108923,-73.9931895
"painter,",40.7098217,-73.9276658
"engraver,",40.7127753,-74.0059728
"painter,",40.5675356,-74.1190417
"(col'd) painter,",40.7127753,-74.0059728
"miniature painter,",40.9291221,-73.8997995
", artist,",40.7113974,-74.0064926
"gilder,",40.7127004,-74.0115309
"glass gilder,",40.6787491,-74.0001031
"engraver,",40.7153135,-73.9918849
"painter,",40.719847,-73.9841553
"painter,",40.7127753,-74.0059728
"carver,",40.7272771,-73.9970158
"engraver,",40.7424164,-73.8278025
"engraver,",40.7416112,-73.9871907
"portrait painter,",42.3406373,-75.1651689
"painting,",40.7096764,-74.0051166
"painter,",40.7281971,-74.0050062
painter.,40.7834692,-73.7747373
"painter,",40.7282947,-74.0063254
"painter,",40.7245567,-73.9955792
"artist,",40.7104544,-74.0058236
"mininturepainter,",40.712739,-74.0084652
"painter,",40.720556,-73.9962989
"painter,",40.698061,-73.995732
"auctioneers,",40.7060361,-74.0088256
painter.,40.7150337,-73.9794082
"painter,",40.7140636,-73.9901951
"painter,",40.7223341,-73.9931936
"engraver,",40.7100021,-74.0068037
"engraver,",40.7113653,-74.0060469
"engraver,",40.7107912,-74.0083659
"portrait painter,",42.2528649,-73.790959
"painter,",40.6309782,-74.1466263
"painter,",40.7107726,-74.0096727
"painter,",40.5675356,-74.1190417
"auctioneer,",40.7208595,-73.998155
painter.,40.7602629,-73.9157371
"portraitpainter,",40.6247004,-74.1596932
"painter,",40.628263,-73.999149
"painter,",40.7127753,-74.0059728
"engraver,",40.7106779,-74.0070811
"painter,",40.7175581,-73.9949693
"painter,",40.7176111,-73.9999134
painter.,40.813389,-73.878958
"artist,",40.7124937,-74.0103871
"painter,",40.7146197,-73.9974421
"painter,",41.3306493,-74.1868135
engraver.,40.7106155,-74.0093147
nortraitpainter,40.7180316,-74.0030505
"painter,",40.6820841,-73.7698262
"artist,",40.6890825,-74.0003827
"engraver,",40.7060361,-74.0088256
", artist,",40.7157109,-73.9939932
"carver,",40.7244618,-73.9982515
"painter,",40.7283189,-74.0062112
"portrait painter,",40.7115178,-74.0104389
"painter,",40.7127753,-74.0059728
"artist,",40.7566911,-73.8188629
engraver.,40.733037,-74.0041967
"painter,",40.7183214,-74.0066688
"artist,",40.7175647,-73.9794946
"painter,",40.729717,-74.003701
"painter,",40.7179174,-73.9942348
"painter,",40.7151158,-74.01029
"engraver and printer,",40.7148811,-74.0053941
"sign painter,",40.7127753,-74.0059728
"engraver,",40.7127753,-74.0059728
"painter,",40.7162947,-73.9828638
"wood engraver,",40.7127228,-73.997996
"painter,",40.7142682,-73.9995783
"ornamental painter,",40.6593206,-73.9885268
painter.,40.718546,-73.9860785
"painter,",40.7202426,-73.9844817
"art flowers,",43.2237662,-75.7760563
"engraver,",40.7127753,-74.0059728
"carver,",40.7192775,-73.9812974
auctioneer.,40.7060602,-74.0074766
"painter,",40.7151041,-73.7581467
"painter,",40.7135754,-74.0010703
"engraver,",40.7142782,-74.0068897
"painter,",40.7263926,-74.0070076
"painter,",40.7154103,-73.9929472
"artist's mat.,",40.7238844,-74.0017023
"painter,",40.7127228,-73.997996
"painter,",40.7112898,-74.0119537
"painter,",40.6697035,-73.9786309
"auctioneer,",42.2528649,-73.790959
"gilder,",40.7255182,-74.0034529
"painter,",40.6253871,-74.0021451
"painter,",40.7018833,-73.9909409
"painter,",40.7198743,-74.0105129
